Source file: =23-A11.dnl
Date: 29.04.2025
Time: 08:35
User name: MASTERDRIVES MC Plus
Device type: MASTERDRIVES MC Plus
SW version: 01.6
Bus address: 0
;;;;
MFLB: 6SE70 .. [14] 21-8TP50                        
Converter supply voltage: 540 V
Converter current(n): 17.5 A
Converter power(n): 7.5 kW
Date of generation: 26.4.2005
Operating hours: 2458.15.3345
Serial number (FID): 0x600  / 0x4243
Personal identification number (PIN): 0xFFFF / 0xFFFF

;Basic board;Slot A;Slot B;Slot C
P922;Telegram Select;000;FDS 1;0 
P927;Parameter Access;000;FDS 1;0000000000011111 
P952;# of Faults;000;FDS 1;7 
U015;FixSetp 30;001;FDS 1;19884108 
U016;FixSetp 31;001;FDS 1;20000000 
U017;FixSetp 32;001;FDS 1;65536 
U129;FSetpConnLimitr1;001;FDS 1;200.00 %
U130;Src ConnLimitr1;002;Input X;K11  AnaIn Setp 
U130;Src ConnLimitr1;003;Limit B-;K0  FixConn 0% 
U405;SrcMulDiv32_1_32;000;Limit B-;KK128  n(act) Mach 
U406;SrcMulDiv32_1_16;001;Limit B-;KK416  FIXSETP KK U016 
U406;SrcMulDiv32_1_16;002;Limit B-;KK417  FIXSETP KK U017 
U480;SrcTraceInput;001;Channel 1;KK91  n(act) 
U480;SrcTraceInput;002;Channel 2;KK150  n (set,smooth) 
U480;SrcTraceInput;003;Channel 3;KK602  MulDiv KK 1.12 
U482;TraceSampleTime;001;Channel 1;4 
U482;TraceSampleTime;002;Channel 2;4 
U482;TraceSampleTime;003;Channel 3;4 
U483;SrcTriggerInput;001;Channel 1;KK150  n (set,smooth) 
U483;SrcTriggerInput;002;Channel 2;KK150  n (set,smooth) 
U483;SrcTriggerInput;003;Channel 3;KK150  n (set,smooth) 
U486;TriggerCondition;001;Channel 1;[4] Inp<>Thresh 
U486;TriggerCondition;002;Channel 2;[4] Inp<>Thresh 
U486;TriggerCondition;003;Channel 3;[4] Inp<>Thresh 
U487;PreTrigger;001;Channel 1;10 %
U487;PreTrigger;002;Channel 2;10 %
U487;PreTrigger;003;Channel 3;10 %
U617;Check Table;001;Check Tab 1;1 
U617;Check Table;002;Check Tab 2;1 
U617;Check Table;003;Check Tab 3;10 
U617;Check Table;004;Check Tab 4;10 
U617;Check Table;005;Check Tab 5;10 
U617;Check Table;006;Check Tab 6;10 
U617;Check Table;007;Check Tab 7;10 
U617;Check Table;008;Check Tab 8;10 
U620;Table Width;003;Table 3;0 
U620;Table Width;004;Table 4;0 
U620;Table Width;005;Table 5;0 
U620;Table Width;006;Table 6;0 
U620;Table Width;007;Table 7;0 
U620;Table Width;008;Table 8;0 
U950;Sampling Times1;017;Pos Machine Enc;3 
U950;Sampling Times1;044;FixSetp 30;3 
U950;Sampling Times1;045;FixSetp 31;3 
U950;Sampling Times1;046;FixSetp 32;3 
U951;Sampling Times2;012;MulDiv32 1;3 
U951;Sampling Times2;074;Limitr1 1Word;2 
U976;FID;001;Limitr1 1Word;0x600 
U976;FID;002;Limitr1 1Word;0x4243 
