Source file: =11-A11.dnl
Date: 29.04.2025
Time: 08:27
User name: MASTERDRIVES VC Plus
Device type: MASTERDRIVES VC Plus
SW version: 03.4
Bus address: 0
;;;;
MFLB: 6SE70 .. [18] 23-4TP60                        
Converter supply voltage: 540 V
Converter current(n): 34.0 A
Converter power(n): 15.0 kW
Date of generation: 20.1.2005
Operating hours: 1033.12.1949

;Basic board;Slot A;Slot B
P392;Iron Losses;002;MDS2;1.66 %
P392;Iron Losses;003;MDS3;1.66 %
P392;Iron Losses;004;MDS4;1.66 %
P396;DC Braking Amps;001;MDS1;31.0 A
P396;DC Braking Amps;002;MDS2;34.0 A
P396;DC Braking Amps;003;MDS3;34.0 A
P396;DC Braking Amps;004;MDS4;34.0 A
P431;MOP Accel Time;000;MDS4;0.5 s
P432;MOP Decel Time;000;MDS4;0.5 s
P443;S.MainSetpoint;001;BiCoDS 1;K11  AI1 Setpoint 
P462;Accel. Time;001;FDS 1;0.8 
P464;Decel. Time;001;FDS 1;0.8 
P469;Ramp StartSmooth;001;FDS 1;0.10 s
P470;Ramp End Smooth;001;FDS 1;0.10 s
P494;FixTorque 1 Gain;001;FDS 1;120.00 %
P500;Scale TorqLim2;001;FDS 1;120.00 %
P525;Fly Search Amps;001;MDS1;12.7 A
P525;Fly Search Amps;002;MDS2;12.2 A
P525;Fly Search Amps;003;MDS3;12.2 A
P525;Fly Search Amps;004;MDS4;12.2 A
P554;S.ON/OFF1;001;BiCoDS 1;B20  DigIn 6 
P554;S.ON/OFF1;002;BiCoDS 2;B0  FixBinector 0 
P556;S.2 OFF2(coast);001;BiCoDS 1;B16  DigIn 4 
P564;S.Setp Release;001;BiCoDS 1;B20  DigIn 6 
P566;S.2 Fault Reset;001;BiCoDS 1;B10  DigIn 1 
P567;S.3 Fault Reset;002;BiCoDS 2;B0  FixBinector 0 
P571;S.FWD Speed;001;BiCoDS 1;B19  DigIn 5 inv. 
P572;S.REV Speed;001;BiCoDS 1;B18  DigIn 5 
P590;S.BICO DSet;000;BiCoDS 1;B0  FixBinector 0 
P600;ContactorMsgTime;000;BiCoDS 1;0 ms
P602;Excitation Time;001;MDS1;0.67 s
P602;Excitation Time;002;MDS2;0.47 s
P602;Excitation Time;003;MDS3;0.47 s
P602;Excitation Time;004;MDS4;0.47 s
P603;De-MagnetizeTime;001;MDS1;0.67 s
P603;De-MagnetizeTime;002;MDS2;0.47 s
P603;De-MagnetizeTime;003;MDS3;0.47 s
P603;De-MagnetizeTime;004;MDS4;0.47 s
P605;BrakeCtrl;000;MDS4;[1] Brake w/o Chkbk 
P606;BrakeOpenTime;000;MDS4;0.10 s
P607;BrakeCloseTime;000;MDS4;1.00 s
P608;S.BrakeOpen;001;MDS4;B275  Open Brake 
P610;S.BrakeThresh1;000;MDS4;K11  AI1 Setpoint 
P615;S.BrakeThresh2;000;MDS4;K11  AI1 Setpoint 
P616;BrakeThresh2;000;MDS4;0.0 %
P617;BrakeThresh2Time;000;MDS4;1.00 s
P651;S.DigOut1;001;BiCoDS 1;B0  FixBinector 0 
P652;S.DigOut2;001;BiCoDS 1;B121  CompV not OK 
P653;S.DigOut3;001;BiCoDS 1;B106  Fault 
P700;SCom BusAddr;001;Ser.Interface1;1 
P701;SCom Baud;001;Ser.Interface1;[8] 38400 Baud 
P792;Perm Deviation;001;FDS 1;8.0 %
P795;S.Comp ActV;000;FDS 1;K11  AI1 Setpoint 
P796;Compare Value;001;FDS 1;1.0 %
P797;Compare Hyst;001;FDS 1;0.5 %
P798;Compare Time;001;FDS 1;0.5 s
P805;PullOut/BlckTime;001;MDS1;12.00 s
P843;VCS RAM Val;000;MDS1;0x4502 
P897;Menu Select;000;MDS1;[7] Upr/fr. Access 
P927;Parameter Access;000;MDS1;0000000001111111 
P952;# of Faults;000;MDS1;7 
